time 	y	p	dp	q	e	r	ex	im	po	rs	qs	dps	ys	es	ps
1980Q2	4.080411277	2.145237475	0.032156874	-0.076916286	-0.235118718	0.010804788	6.30813847	6.087679466	3.643272593	0.031786017	-1.169545552	0.035296505	3.816503045	0.226038902	3.156905505
1980Q3	4.097386597	2.188587384	0.043349909	0.113348498	-0.275442614	0.010924472	6.356518515	6.155385075	3.549617387	0.029452848	-1.122363779	0.022775041	3.819963566	0.206036923	3.179680547
1980Q4	4.099632225	2.235933407	0.047346023	0.083528468	-0.286354953	0.011004221	6.226920027	6.109101342	3.679669674	0.031253985	-1.112133192	0.02530383	3.826871572	0.230295736	3.204984377
1981Q1	4.111974897	2.261613087	0.02567968	-0.145033529	-0.260836332	0.01846747	6.143041301	6.115065285	3.666549486	0.032335565	-1.112511312	0.028136328	3.833214527	0.271731525	3.233120704
1981Q2	4.133579698	2.283897564	0.022284477	-0.164282638	-0.176314833	0.022307776	6.106398981	6.230729626	3.561330133	0.034056455	-1.076739618	0.030409303	3.837479689	0.34220876	3.263530008
1981Q3	4.148029079	2.334916746	0.051019183	-0.282672984	-0.062745995	0.028703993	6.071810024	6.267146452	3.5720647	0.036535771	-1.130527474	0.025939847	3.844351704	0.403102395	3.289469854
1981Q4	4.154247355	2.370907073	0.035990326	-0.297811877	-0.03835317	0.027959796	6.103997802	6.209928278	3.605136367	0.034100515	-1.203533266	0.022135894	3.84736863	0.379678198	3.311605748
1982Q1	4.144941031	2.395847723	0.024940651	-0.444114561	-0.011498859	0.040848387	5.949623827	6.193470035	3.473725774	0.033087752	-1.199719778	0.019045071	3.847676125	0.415195093	3.33065082
1982Q2	4.136562382	2.436871201	0.041023477	-0.67609857	0.073742906	0.038001452	5.979750024	6.113333268	3.535145354	0.033259369	-1.228689887	0.021380875	3.851245183	0.451370481	3.352031695
1982Q3	4.136305108	2.464839988	0.027968787	-0.618865413	0.139648893	0.04013974	6.083613927	6.035354539	3.514526067	0.030240678	-1.259948345	0.020185452	3.85001563	0.493491003	3.372217147
1982Q4	4.114939359	2.500960429	0.036120441	-0.418387545	0.120712075	0.037105001	6.074901193	5.920963682	3.512043822	0.029674726	-1.199315217	0.016926989	3.853918327	0.514498445	3.389144135
1983Q1	4.099383512	2.527223526	0.026263098	-0.293198898	0.080657903	0.026090004	6.037821583	5.780640975	3.380426486	0.029204716	-1.134374713	0.016021948	3.86222773	0.516513994	3.405166083
1983Q2	4.103527272	2.554914562	0.027691035	-0.273387644	0.085011879	0.02907504	6.007323935	5.744572363	3.395849775	0.029791078	-1.055392003	0.020318576	3.874746297	0.543822617	3.425484659
1983Q3	4.114989972	2.579807655	0.024893093	-0.284204882	0.102583664	0.036025086	5.960019033	5.786629665	3.426432936	0.029851465	-1.039895887	0.019321206	3.886779027	0.579643121	3.444805865
1983Q4	4.14003628	2.602104329	0.022296674	-0.399653433	0.161804174	0.039428865	5.923555508	5.963750494	3.372111801	0.029835512	-1.019197162	0.020131995	3.901050079	0.596893436	3.464937861
1984Q1	4.156862293	2.623907433	0.021803104	-0.321971551	0.209855657	0.042892449	6.019558179	6.019681554	3.393054317	0.029638647	-0.981609818	0.018418697	3.914257893	0.615289633	3.483356558
1984Q2	4.177424192	2.662369198	0.038461765	-0.324474878	0.243667487	0.042330186	6.000784852	5.934305916	3.387098457	0.029607598	-0.999816353	0.019428265	3.917697299	0.632733626	3.502784823
1984Q3	4.160711099	2.690279907	0.027910709	-0.46303493	0.45415368	0.049678491	6.076958827	6.045533356	3.335175094	0.032144727	-1.014344676	0.017537153	3.928035554	0.694017501	3.520321976
1984Q4	4.162255515	2.722774597	0.032494689	-0.450308563	0.597104232	0.049883353	6.199637539	6.027262125	3.316122311	0.031212779	-0.974860851	0.018909009	3.935508918	0.74021248	3.539230986
1985Q1	4.156279697	2.764518747	0.041744151	-0.543280379	0.713807283	0.050735211	6.228148932	5.962743248	3.32419754	0.032474769	-0.91176599	0.019484066	3.944199005	0.802627168	3.558715051
1985Q2	4.148982673	2.812740492	0.048221745	-0.445220082	0.676087488	0.046100681	6.225306647	5.898289933	3.29694736	0.03341769	-0.866861372	0.024016651	3.955528073	0.777857365	3.582731702
1985Q3	4.146339111	2.84154326	0.028802767	-0.472814684	0.816483656	0.038180272	6.274245247	5.930055778	3.306520335	0.026862023	-0.825715189	0.012231092	3.965312145	0.73800743	3.594962794
1985Q4	4.156975014	2.883246433	0.041703173	-0.41906984	0.972387471	0.031841576	6.401176577	5.905723709	3.344510621	0.027219908	-0.738321505	0.012946092	3.974093444	0.694345348	3.607908885
1986Q1	4.144990147	2.940573624	0.057327191	-0.388756268	0.768426252	0.028703993	6.188266735	5.987830033	2.878259815	0.027473126	-0.636294587	0.012341676	3.981545669	0.661807223	3.620250561
1986Q2	4.151869483	2.972903673	0.032330049	-0.421944024	0.814590177	0.026277546	6.277371185	5.857423545	2.550226116	0.021077227	-0.517513434	0.007649301	3.991449549	0.635564923	3.627899862
1986Q3	4.154118626	3.016211143	0.04330747	-0.303790506	0.911081186	0.024961334	6.352394531	6.03217187	2.519042341	0.020989284	-0.507042153	0.007268332	4.000747282	0.619584572	3.635168195
1986Q4	4.158307918	3.056451009	0.040239866	-0.240587303	0.805805999	0.023638087	6.214628438	5.766160123	2.689431273	0.021962128	-0.495797554	0.010783978	4.009364172	0.622475293	3.645952173
1987Q1	4.16555453	3.093911062	0.037460054	-0.204473073	0.731949537	0.021926403	6.188694086	5.777735987	2.885174944	0.025889281	-0.446575909	0.013980248	4.010768832	0.58164377	3.659932421
1987Q2	4.169114934	3.131193678	0.037282615	-0.119755392	0.699958928	0.022307776	6.099091193	5.75847644	2.927630077	0.027221257	-0.395542667	0.019065757	4.027055789	0.563063936	3.678998178
1987Q3	4.17275671	3.163718232	0.032524554	-0.065289488	0.722434101	0.022688591	6.153710547	5.81355449	2.949515545	0.024149825	-0.331970345	0.013942336	4.039945761	0.583094509	3.692940514
1987Q4	4.184958885	3.197431531	0.033713299	-0.352516333	0.689088957	0.023827545	6.10865562	5.887223346	2.893516807	0.024880243	-0.581607685	0.016415964	4.054823204	0.545455209	3.709356478
1988Q1	4.199876563	3.221448513	0.024016982	-0.586528301	0.71820558	0.027773512	6.090684212	5.925931462	2.761698387	0.026596912	-0.597309836	0.017115274	4.068815264	0.536980343	3.726471752
1988Q2	4.206951261	3.251207478	0.029758966	-0.617227301	0.792286384	0.029260579	6.103141153	5.987195081	2.785628336	0.028069646	-0.527243784	0.024234112	4.07791882	0.544622071	3.750705864
1988Q3	4.220311794	3.28112172	0.029914242	-0.589973557	0.889338769	0.035121507	6.232245274	6.026615963	2.669309373	0.031749595	-0.506467487	0.026317929	4.091819854	0.609321353	3.777023794
1988Q4	4.229657492	3.314106001	0.032984282	-0.558631648	0.875951954	0.03782229	6.187797676	6.060453989	2.597736699	0.033712563	-0.476805863	0.025647641	4.104269196	0.588660586	3.802671435
1989Q1	4.235831104	3.34889305	0.034787049	-0.470245306	0.900120699	0.038894487	6.13819884	6.002834148	2.85991255	0.033773725	-0.425190665	0.023106675	4.11344774	0.61764673	3.82577811
1989Q2	4.240160605	3.38982968	0.04093663	-0.452823519	0.981707617	0.042435694	6.228315375	6.094287761	2.924950303	0.044998106	-0.388588222	0.03258911	4.117968186	0.676884827	3.85836722
1989Q3	4.240964097	3.423881474	0.034051794	-0.407493996	1.006964727	0.043488327	6.194635955	5.982987408	2.864295828	0.039375753	-0.33775203	0.034971443	4.126215952	0.705973602	3.893338663
